Date,Close
10/5/2018,76.37
10/8/2018,77.83
10/9/2018,77.98
10/10/2018,78.04
10/11/2018,75.79
10/12/2018,79.61
10/15/2018,83.01
10/16/2018,86.68
10/17/2018,88.69
10/18/2018,86.77
10/19/2018,84.78
10/22/2018,84.8
10/23/2018,80.64
10/24/2018,80.07
10/25/2018,79.95
10/26/2018,79.3
10/29/2018,76.81
10/30/2018,79.64
10/31/2018,81.04
11/1/2018,85.7
11/2/2018,87.35
11/5/2018,91.36
11/6/2018,89.44
11/7/2018,91.06
11/8/2018,91.96
11/9/2018,93.4
11/12/2018,93.77
11/13/2018,91.69
11/14/2018,92.03
11/15/2018,91.42
11/16/2018,86.35
11/19/2018,86.35
11/20/2018,86.87
11/21/2018,89.16
11/23/2018,88.18
11/26/2018,88.03
11/27/2018,88.87
11/28/2018,91.82
11/29/2018,91.37
11/30/2018,89.18
12/3/2018,87
12/4/2018,87.25
12/6/2018,89
12/7/2018,88.5
12/10/2018,87.11
12/11/2018,81.46
12/12/2018,82.7
12/13/2018,85
12/14/2018,82.05
12/17/2018,76.4
12/18/2018,76.51
12/19/2018,75.43
12/20/2018,70.99
12/21/2018,69.7
12/24/2018,67.81
12/26/2018,69.44
12/27/2018,68.57
12/28/2018,67.66
12/31/2018,67.34
1/2/2019,68.84
1/3/2019,68.79
1/4/2019,70.92
1/7/2019,74.05
1/8/2019,76.61
1/9/2019,78.35
1/10/2019,78.57
1/11/2019,81.94
1/14/2019,80.18
1/15/2019,75.6
1/16/2019,78.51
1/17/2019,79.38
1/18/2019,78.64
1/22/2019,76.79
1/23/2019,77.98
1/24/2019,79.4
1/25/2019,79.24
1/28/2019,78.37
1/29/2019,76.43
1/30/2019,76.69
1/31/2019,76.27
2/1/2019,78.75
2/4/2019,80.66
2/5/2019,80.73
2/6/2019,80.85
2/7/2019,80.79
2/8/2019,80.55
2/11/2019,83.96
2/12/2019,84.23
2/13/2019,85.36
2/14/2019,86.39
2/15/2019,87.4
2/19/2019,87.5
2/20/2019,88.51
2/21/2019,99.49
2/22/2019,99.87
2/25/2019,98.97
2/26/2019,97.19
2/27/2019,97.28
2/28/2019,99.2
3/1/2019,99
3/4/2019,98.31
3/5/2019,96.64
3/6/2019,94.14
3/7/2019,93.66
3/8/2019,92
3/11/2019,90.34
3/12/2019,89.83
3/13/2019,90.67
3/14/2019,90.19
3/15/2019,86.98
3/18/2019,86.47
3/19/2019,85.08
3/20/2019,83.09
3/21/2019,88.15
3/22/2019,85.82
3/25/2019,86.49
3/26/2019,86.52
3/27/2019,87.85
3/28/2019,90.52
3/29/2019,91.29
4/1/2019,92.26
4/2/2019,91.85
4/3/2019,91.45
4/4/2019,92.88
4/5/2019,93.65
4/8/2019,93.5
4/9/2019,91.05
4/10/2019,92.7
4/11/2019,90.82
4/12/2019,90.63
4/15/2019,89.48
4/16/2019,88.85
4/17/2019,87.2
4/18/2019,88.59
4/22/2019,88.19
4/23/2019,89.5
4/24/2019,91.8
4/25/2019,93.43
4/26/2019,93.69
4/29/2019,91.73
4/30/2019,88.66
5/1/2019,84.79
5/2/2019,88.18
5/3/2019,88.4
5/6/2019,89.61
5/7/2019,87.37
5/8/2019,85.78
5/9/2019,87.32
5/10/2019,89.79
5/13/2019,87.63
5/14/2019,88.53
5/15/2019,88.57
5/16/2019,87.37
5/17/2019,88.45
5/20/2019,87.97
5/21/2019,87.61
5/22/2019,87.63
5/23/2019,85.87
5/24/2019,88.22
5/28/2019,88.45
5/29/2019,88.13
5/30/2019,90.47
5/31/2019,94.42
6/3/2019,92.04
6/4/2019,91.77
6/5/2019,92.91
6/6/2019,94.88
6/7/2019,95.76
6/10/2019,97.36
6/11/2019,94.84
6/12/2019,93.8
6/13/2019,94.74
6/14/2019,96.79
6/17/2019,97.8
6/18/2019,96.71
6/19/2019,96.16
6/20/2019,96.51
6/21/2019,95.23
6/24/2019,95.4
6/25/2019,93.37
6/26/2019,92.44
6/27/2019,94.35
6/28/2019,95.47
7/1/2019,95.4
7/2/2019,96.41
7/3/2019,99.05
7/5/2019,103.38
7/8/2019,99.27
7/9/2019,97.42
7/10/2019,96.27
7/11/2019,98.23
7/12/2019,99.01
7/15/2019,99.31
7/16/2019,94.65
7/17/2019,94.92
7/18/2019,93.91
7/19/2019,95.5
7/22/2019,93.51
7/23/2019,90.49
7/24/2019,92.06
7/25/2019,90.58
7/26/2019,90.78
7/29/2019,88.99
7/30/2019,86.47
7/31/2019,82.09
8/1/2019,84.04
8/2/2019,82.53
8/5/2019,81.1
8/6/2019,79.41
8/7/2019,80.11
8/8/2019,83.19
8/9/2019,82.07
8/12/2019,79.78
8/13/2019,79.1
8/14/2019,76.51
8/15/2019,75.63
8/16/2019,76.74
8/19/2019,76.87
8/20/2019,74.92
8/21/2019,74.91
8/22/2019,77.01
8/23/2019,75.96
8/26/2019,75.42
8/27/2019,70.77
8/28/2019,73.28
8/29/2019,73.53
8/30/2019,70.55
9/3/2019,70.73
9/4/2019,71.3
9/5/2019,71.54
9/6/2019,72.29
9/9/2019,74.87
9/10/2019,75.19
9/11/2019,75
9/12/2019,73.42
9/13/2019,73.87
9/16/2019,74.18
9/17/2019,74.14
9/18/2019,73.27
9/19/2019,70.78
9/20/2019,71.55
9/23/2019,72.13
9/24/2019,71.45
9/25/2019,72.34
9/26/2019,72.99
9/27/2019,73.4
9/30/2019,75.86
10/1/2019,74.46
10/2/2019,72.9
10/3/2019,73.75
10/4/2019,71.24
10/7/2019,71.23
10/8/2019,70.98
10/9/2019,68.65
10/10/2019,69.85
10/11/2019,71.37
10/14/2019,70.72
10/15/2019,72.36
10/16/2019,72.04
10/17/2019,72.28
10/18/2019,72.59
10/21/2019,74.01
10/22/2019,72.99
10/23/2019,72.8
10/24/2019,71.49
10/25/2019,73.62
10/28/2019,71.68
10/29/2019,73.11
10/30/2019,73.07
10/31/2019,73.15
11/1/2019,75.42
11/4/2019,76.48
11/5/2019,78.47
11/6/2019,78.12
11/7/2019,77.86
11/8/2019,78.35
11/11/2019,78.45
11/12/2019,79.09
11/13/2019,79.04
11/14/2019,76.58
11/15/2019,78.37
11/18/2019,80.29
11/19/2019,80.45
11/20/2019,80.02
11/21/2019,80.89
11/22/2019,80.42
11/25/2019,81.19
11/26/2019,80.27
11/27/2019,82.08
11/29/2019,82.88
12/2/2019,82.78
12/3/2019,82.16
12/4/2019,81.73
12/5/2019,81.4
12/6/2019,82.39
12/9/2019,80.81
12/10/2019,82.11
12/11/2019,83.82
12/12/2019,84.06
12/13/2019,81.42
12/16/2019,81.48
12/17/2019,81.73
12/18/2019,81.8
12/19/2019,81.62
12/20/2019,81.39
12/23/2019,81.8
12/24/2019,82.13
12/26/2019,82.81
12/27/2019,81.54
12/30/2019,84.18
12/31/2019,83.52
1/2/2020,85.29
1/3/2020,85.07
1/6/2020,85.34
1/7/2020,84.67
1/8/2020,86.44
1/9/2020,84.78
1/10/2020,85.41
1/13/2020,85.15
1/14/2020,85.29
1/15/2020,86.23
1/16/2020,88.53
1/17/2020,87.69
1/21/2020,86.57
1/22/2020,85.96
1/23/2020,86.45
1/24/2020,86.16
1/27/2020,86.05
1/28/2020,87.73
1/29/2020,89.14
1/30/2020,87.48
1/31/2020,85.25
2/3/2020,85.27
2/4/2020,85.76
2/5/2020,89.13
2/6/2020,89.69
2/7/2020,86.3
2/10/2020,86.96
2/11/2020,88.25
2/12/2020,89.85
2/13/2020,90.99
2/14/2020,92.05
2/18/2020,94.02
2/19/2020,95.71
2/20/2020,97.84
2/21/2020,97.21
2/24/2020,96.36
2/25/2020,88.55
2/26/2020,87.17
2/27/2020,82.1
2/28/2020,81.85
3/2/2020,84.82
3/3/2020,83.72
3/4/2020,90.18
3/5/2020,78.8
3/6/2020,74.15
3/9/2020,61.5
3/10/2020,60.13
3/11/2020,51.34
3/12/2020,35
3/13/2020,42.68
3/16/2020,33.27
3/17/2020,30.47
3/18/2020,17
3/19/2020,17.76
3/20/2020,17.41
3/23/2020,18.88
3/24/2020,25.13
3/25/2020,29.75
3/26/2020,36.27
3/27/2020,32.61
3/30/2020,28.28
3/31/2020,28.68
4/1/2020,22.39
4/2/2020,21
4/3/2020,20.39
4/6/2020,28.06
4/7/2020,29
4/8/2020,32.64
4/9/2020,35.98
4/13/2020,32.9
4/14/2020,32.54
4/15/2020,30.86
4/16/2020,29.19
4/17/2020,33.9
4/20/2020,30.54
4/21/2020,31.81
4/22/2020,31.9
4/23/2020,30.85
4/24/2020,30.79
4/27/2020,33.53
4/28/2020,37.43
4/29/2020,46.31
4/30/2020,44.39
5/1/2020,39.18
5/4/2020,39.09
5/5/2020,37.28
5/6/2020,36.43
5/7/2020,39.25
5/8/2020,41.65
5/11/2020,40.01
5/12/2020,38.22
5/13/2020,34.11
5/14/2020,35.31
5/15/2020,36.51
5/18/2020,41.68
5/19/2020,40.77
5/20/2020,42.15
5/21/2020,42.83
5/22/2020,43.72
5/26/2020,47.34
5/27/2020,52.68
5/28/2020,48.91
5/29/2020,45.39
6/1/2020,47.86
6/2/2020,48.15
6/3/2020,52.74
6/4/2020,56.14
6/5/2020,60.66
6/8/2020,63.65
6/9/2020,58.2
6/10/2020,52.48
6/11/2020,44.22
6/12/2020,49.28
6/15/2020,48.49
6/16/2020,48.5
6/17/2020,45.29
6/18/2020,44.71
6/19/2020,42.75
6/22/2020,41.13
6/23/2020,44.45
6/24/2020,40.78
6/25/2020,41.27
6/26/2020,38.99
6/29/2020,42.51
6/30/2020,42.1
7/1/2020,40.95
7/2/2020,39.21
7/6/2020,40.15
7/7/2020,37.82
7/8/2020,38.23
7/9/2020,35.47
7/10/2020,37.69
7/13/2020,35.46
7/14/2020,35.13
7/15/2020,41.2
7/16/2020,39.68
7/17/2020,38.71
7/20/2020,38.3
7/21/2020,40.09
7/22/2020,40.8
7/23/2020,41.36
7/24/2020,42.43
7/27/2020,42.43
7/28/2020,42.03
7/29/2020,46.89
7/30/2020,46.47
7/31/2020,45.43
8/3/2020,44.41
8/4/2020,45.72
8/5/2020,47.04
8/6/2020,48.07
8/7/2020,50.57
8/10/2020,51.5
8/11/2020,52.82
8/12/2020,53.56
8/13/2020,53.51
8/14/2020,54.47
8/17/2020,52.66
8/18/2020,53.05
8/19/2020,53.29
8/20/2020,53.61
8/21/2020,54.3
8/24/2020,55.37
8/25/2020,56.79
8/26/2020,55.33
8/27/2020,57.55
8/28/2020,62.82
8/31/2020,59.56
9/1/2020,62.67
9/2/2020,64.2
9/3/2020,63.51
9/4/2020,63.28
9/8/2020,61.46
9/9/2020,59.94
9/10/2020,61.71
9/11/2020,59.23
9/14/2020,61.69
9/15/2020,61.19
9/16/2020,60.96
9/17/2020,58.38
9/18/2020,56.09
9/21/2020,52.94
9/22/2020,56.26
9/23/2020,52.95
9/24/2020,54.92
9/25/2020,55.23
9/28/2020,56.97
9/29/2020,55.52
9/30/2020,54.59
10/1/2020,55.46
10/2/2020,57.6
10/5/2020,57.6
10/6/2020,56.16
10/7/2020,56.78
10/8/2020,58.18
10/9/2020,60.59
10/12/2020,59.14
10/13/2020,56.42
10/14/2020,58.28
10/15/2020,58.88
10/16/2020,58.14
10/19/2020,58.37
10/20/2020,59.04
10/21/2020,57.79
10/22/2020,59.66
10/23/2020,57.73
10/26/2020,56.29
10/27/2020,56.49
10/28/2020,55.97
10/29/2020,53.91
10/30/2020,51.45
11/2/2020,49.94
11/3/2020,51.45
11/4/2020,52.93
11/5/2020,57.42
11/6/2020,55.12
11/9/2020,64.56
11/10/2020,61.29
11/11/2020,58.92
11/12/2020,57.63
11/13/2020,59.75
11/16/2020,64.8
11/17/2020,62.86
11/18/2020,60.96
11/19/2020,61.23
11/20/2020,60.19
11/23/2020,62.37
11/24/2020,66.52
11/25/2020,64.28
11/27/2020,63.92
11/30/2020,62.97
12/1/2020,64.34
12/2/2020,65.92
12/3/2020,69.76
12/4/2020,70.85
12/7/2020,67.03
12/8/2020,68.34
12/9/2020,68.42
12/10/2020,68.65
12/11/2020,66.73
12/14/2020,64.87
12/15/2020,66.67
12/16/2020,65.75
12/17/2020,66.59
12/18/2020,66.67
12/21/2020,65.74
12/22/2020,64.95
12/23/2020,62.86
12/24/2020,61.5
12/28/2020,60.27
12/29/2020,58.35
12/30/2020,59.08
12/31/2020,58
1/4/2021,57.55
1/5/2021,61.5
1/6/2021,65.94
1/7/2021,65.42
1/8/2021,65.58
1/11/2021,64.7
1/12/2021,68.55
1/13/2021,67.96
1/14/2021,71.71
1/15/2021,70.48
1/19/2021,71.81
1/20/2021,73.94
1/21/2021,73.24
1/22/2021,74.12
1/25/2021,75.97
1/26/2021,73.51
1/27/2021,74.24
1/28/2021,72.6
1/29/2021,68.76
2/1/2021,71.31
2/2/2021,71.73
2/3/2021,72.99
2/4/2021,76.28
2/5/2021,76.3
2/8/2021,73.97
2/9/2021,76.5
2/10/2021,78.02
2/11/2021,75.8
2/12/2021,73.52
2/16/2021,74.62
2/17/2021,72.83
2/18/2021,77.15
2/19/2021,81.25
2/22/2021,80.81
2/23/2021,78.79
2/24/2021,82.13
2/25/2021,77.52
2/26/2021,79.11
3/1/2021,81.44
3/2/2021,78.77
3/3/2021,81.06
3/4/2021,82.44
3/5/2021,84.25
3/8/2021,87.38
3/9/2021,83.28
3/10/2021,83.7
3/11/2021,82.49
3/12/2021,84.84
3/15/2021,88.55
3/16/2021,86.32
3/17/2021,88.68
3/18/2021,86.53
3/19/2021,89.62
3/22/2021,89.31
3/23/2021,84.38
3/24/2021,82.22
3/25/2021,88.58
3/26/2021,92.69
3/29/2021,88
3/30/2021,90.54
3/31/2021,90.03
4/1/2021,91.35
4/5/2021,87.87
4/6/2021,89.04
4/7/2021,90.35
4/8/2021,92.5
4/9/2021,93.97
4/12/2021,95.14
4/13/2021,92.43
4/14/2021,91.66
4/15/2021,92.53
4/16/2021,92.34
4/19/2021,92.82
4/20/2021,89.01
4/21/2021,90.21
4/22/2021,91.08
4/23/2021,91.13
4/26/2021,90.91
4/27/2021,90.88
4/28/2021,92.71
4/29/2021,97.66
4/30/2021,96.65
5/3/2021,96.48
5/4/2021,96.97
5/5/2021,94.11
5/6/2021,97.98
5/7/2021,98.96
5/10/2021,97.67
5/11/2021,94.74
5/12/2021,90.06
5/13/2021,93.15
5/14/2021,97.17
5/17/2021,99.11
5/18/2021,97.09
5/19/2021,96.28
5/20/2021,94.77
5/21/2021,92.71
5/24/2021,93.77
5/25/2021,91.18
5/26/2021,93
5/27/2021,95.04
5/28/2021,94.95
6/1/2021,93.27
6/2/2021,92.95
6/3/2021,90.13
6/4/2021,91.25
6/7/2021,92.37
6/8/2021,97.14
6/9/2021,94.86
6/10/2021,92.16
6/11/2021,92.83
6/14/2021,91.5
6/15/2021,90.94
6/16/2021,91.57
6/17/2021,88.64
6/18/2021,85.83
6/21/2021,87.83
6/22/2021,88.24
6/23/2021,87.86
6/24/2021,90.72
6/25/2021,88.75
6/28/2021,87.52
6/29/2021,86.84
